Pays,Région,Année,Visiteurs,Durée
Belgique,Europe,2018,920,1.7271739130434782
Bulgarie,Europe,2018,138,2.101449275362319
Danemark,Europe,2018,301,1.8272425249169435
Allemagne,Europe,2018,10564,1.709485043544112
Estonie,Europe,2018,24,2.125
Finlande,Europe,2018,130,2.0076923076923077
France,Europe,2018,3401,1.5548368127021464
Grèce,Europe,2018,195,2.651282051282051
Irlande,Europe,2018,374,2.3315508021390374
Islande,Europe,2018,32,1.78125
Italie,Europe,2018,1776,1.8153153153153152
Croatie,Europe,2018,55,1.7636363636363637
Lettonie,Europe,2018,13,2.1538461538461537
Liechtenstein,Europe,2018,89,1.6179775280898876
Lituanie,Europe,2018,31,1.7096774193548387
Luxembourg,Europe,2018,181,1.4972375690607735
Malte,Europe,2018,11,1.7272727272727273
Pays-Bas,Europe,2018,1223,1.6917416189697465
Norvège,Europe,2018,106,2.5849056603773586
Autriche,Europe,2018,892,1.8867713004484303
Pologne,Europe,2018,400,2.235
Portugal,Europe,2018,283,1.8162544169611308
Roumanie,Europe,2018,302,2.019867549668874
Russie,Europe,2018,279,2.2974910394265233
Suède,Europe,2018,405,1.7530864197530864
Serbie,Europe,2018,81,2.567901234567901
Slovaquie,Europe,2018,87,3.0344827586206895
Slovénie,Europe,2018,92,2.2826086956521734
Espagne,Europe,2018,1251,1.8337330135891288
République Tchèque,Europe,2018,175,2.28
Turquie,Europe,2018,275,2.116363636363636
Ukraine,Europe,2018,98,2.6020408163265305
Hongrie,Europe,2018,361,2.3684210526315788
Royaume-Uni,Europe,2018,3979,2.005780346820809
Biélorussie,Europe,2018,24,3.4166666666666665
Chypre,Europe,2018,22,2.590909090909091
Reste de l'Europe,Europe,2018,196,2.045918367346939
États-Unis,Amerique,2018,6439,2.384376455971424
Canada,Amerique,2018,777,2.5817245817245817
Mexique,Amerique,2018,101,2.5643564356435644
"Reste de l'Amérique Centrale, Caraïbes",Amerique,2018,91,2.934065934065934
Argentine,Amerique,2018,96,2.4791666666666665
Brésil,Amerique,2018,305,3.219672131147541
Chili,Amerique,2018,36,2.7222222222222223
Reste de l'Amérique du Sud,Amerique,2018,108,2.5555555555555554
Égypte,Afrique,2018,53,2.5849056603773586
Reste de l'Afrique du Nord,Afrique,2018,69,2.1739130434782608
Afrique du Sud,Afrique,2018,74,3.1486486486486487
Reste de l'Afrique,Afrique,2018,155,3.329032258064516
Bahreïn,Asie,2018,7,2
Chine,Asie,2018,694,2.0576368876080693
République populaire Hong Kong,Asie,2018,69,1.9565217391304348
Inde,Asie,2018,455,3.564835164835165
Indonésie,Asie,2018,193,1.844559585492228
Israël,Asie,2018,355,2.72112676056338
Japon,Asie,2018,529,2.497164461247637
Qatar,Asie,2018,15,9.533333333333333
Corée,Asie,2018,403,1.6377171215880892
République de Koweït,Asie,2018,7,1.5714285714285714
Malaisie,Asie,2018,102,2.392156862745098
Oman,Asie,2018,4,2.25
Philippines,Asie,2018,42,2.6904761904761907
Arabie Saoudite,Asie,2018,90,2.6777777777777776
Singapour,Asie,2018,121,3.6198347107438016
Taiwan,Asie,2018,121,1.9338842975206612
Thaïlande,Asie,2018,116,2.396551724137931
Reste de l'Asie du Sud et de l'Est,Asie,2018,191,3.06282722513089
Reste de l'Asie occidentale,Asie,2018,81,2.6790123456790123
E.A.U,Asie,2018,64,4.109375
Australie,"Australie, Nouvelle-Zélande et Océanie",2018,444,2.216216216216216
Nouvelle-Zélande et Océanie,"Australie, Nouvelle-Zélande et Océanie",2018,64,2.75
